Journal Number,Journal Number Prefix,Journal Number Suffix,Journal Date,Journal Type,Reference Number,Journal Entity Type,Description,Debit,Credit,Account,Account Code,Total,Notes
MMW-35,MMW-,35,2024-12-31,Both,,Journal,LAND,2.600,0,Cash - Fidelity Cash Management Account,1001-001,11.180,"Dec 2024 SPAXX, FDRXX, LAND Dividend"
MMW-36,MMW-,36,2024-12-30,Both,,Journal,GWRS,0.190,0,Cash - Fidelity Cash Management Account,1001-001,0.190,Dec 2024 GWRS Dividend
MMW-36,MMW-,36,2024-12-30,Both,,Journal,GWRS,0,0.190,Income - Ordinary Dividend,4001-001,0.190,Dec 2024 GWRS Dividend
MMW-37,MMW-,37,2025-01-08,Both,,Journal,Dividend Income - FPI,62.730,0,Cash - Fidelity Cash Management Account,1001-001,62.730,Jan 2025 Dividend Deposit
MMW-37,MMW-,37,2025-01-08,Both,,Journal,Dividend Income - FPI,0,62.730,Income - Ordinary Dividend,4001-001,62.730,Jan 2025 Dividend Deposit
MMW-38,MMW-,38,2025-01-10,Both,,Journal,Dividend Income - ALCO,0.380,0,Cash - Fidelity Cash Management Account,1001-001,0.380,Jan 2025 Dividend Deposit
MMW-38,MMW-,38,2025-01-10,Both,,Journal,Dividend Income - ALCO,0,0.380,Income - Ordinary Dividend,4001-001,0.380,Jan 2025 Dividend Deposit
MMW-39,MMW-,39,2025-01-15,Both,,Journal,Dividend Income - FPI,3.270,0,Cash - Fidelity Cash Management Account,1001-001,4.520,Combined Jan 2025 Dividend Deposit
MMW-39,MMW-,39,2025-01-15,Both,,Journal,Dividend Income - ECL,1.250,0,Cash - Fidelity Cash Management Account,1001-001,4.520,Combined Jan 2025 Dividend Deposit
MMW-39,MMW-,39,2025-01-15,Both,,Journal,Total Dividend Income - FPI & ECL,0,4.520,Income - Ordinary Dividend,4001-001,4.520,Combined Jan 2025 Dividend Deposit
MMW-40,MMW-,40,2025-01-01,Both,,Journal,,0,412.620,Unrealized Securities Gain - DNU,4010-000,412.620,Jan 2025 M2M Trading Securities
MMW-40,MMW-,40,2025-01-01,Both,,Journal,,412.620,0,Unrealized Gain - Water Investments,4202-001,412.620,Jan 2025 M2M Trading Securities
MMW-41,MMW-,41,2025-01-31,Both,,Journal,Dividend Income - CWCO,2.110,0,Cash - Fidelity Cash Management Account,1001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-41,MMW-,41,2025-01-31,Both,,Journal,Dividend Income - FDRXX,4.620,0,Cash - Fidelity Cash Management Account,1001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-41,MMW-,41,2025-01-31,Both,,Journal,Dividend Income - SPAXX,0.010,0,Cash - Fidelity Cash Management Account,1001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-41,MMW-,41,2025-01-31,Both,,Journal,Dividend Income - LAND,2.600,0,Cash - Fidelity Cash Management Account,1001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-41,MMW-,41,2025-01-31,Both,,Journal,Dividend Income - GWRS,0.190,0,Cash - Fidelity Cash Management Account,1001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-41,MMW-,41,2025-01-31,Both,,Journal,"Total Dividend Income - CWCO, FDRXX, SPAXX, LAND, GWRS",0,9.530,Income - Ordinary Dividend,4001-001,9.530,Combined Jan 2025 Dividend Deposit
MMW-42,MMW-,42,2024-12-31,Both,Rubin Brown 4151.01,Journal,,0,2500.000,Investment - YC F24 Orange Fund #1,1103-002-001,2500.000,Restate F24 Orange Fund into two independent investment assets
MMW-42,MMW-,42,2024-12-31,Both,Rubin Brown 4151.01,Journal,,2500.000,0,Investment - YC F24 Orange Fund #2,1103-002-002,2500.000,Restate F24 Orange Fund into two independent investment assets
MMW-43,MMW-,43,2024-12-31,Both,Rubin Brown 4151.01,Journal,,0,250.000,Investment - YC F24 Orange Fund #1,1103-002-001,500.000,Recognize income from 2024 K1s
MMW-43,MMW-,43,2024-12-31,Both,Rubin Brown 4151.01,Journal,,0,250.000,Investment - YC F24 Orange Fund #2,1103-002-002,500.000,Recognize income from 2024 K1s
MMW-43,MMW-,43,2024-12-31,Both,Rubin Brown 4151.01,Journal,,250.000,0,Income - YC F24 Orange Fund #1,4103-002-001,500.000,Recognize income from 2024 K1s
MMW-43,MMW-,43,2024-12-31,Both,Rubin Brown 4151.01,Journal,,250.000,0,Income - YC F24 Orange Fund #2,4103-002-002,500.000,Recognize income from 2024 K1s
MMW-44,MMW-,44,2024-12-31,Both,Rubin Brown 4151.03,Journal,,0,1000.000,Investment - SpaceX - #1,1103-006-001,1000.000,SpaceX capital adjustment entry per 2024 K1
MMW-44,MMW-,44,2024-12-31,Both,Rubin Brown 4151.03,Journal,,1000.000,0,Income - SpaceX #1,4103-006-001,1000.000,SpaceX capital adjustment entry per 2024 K1
MMW-46,MMW-,46,2025-01-31,Both,,Journal,,169.400,0,Trading Securities - Water Basket - FMV Adjustment,1102-001-999,169.400,Water Investment Basket M2M
MMW-46,MMW-,46,2025-01-31,Both,,Journal,,0,169.400,Unrealized Gain - Water Investments,4202-001,169.400,Water Investment Basket M2M
MMW-47,MMW-,47,2025-01-01,Both,,Journal,,602.400,0,Unrealized Linqto Gains - DNU,4011-000,602.400,Restate Anthropic unrealized gains to new account
MMW-47,MMW-,47,2025-01-01,Both,,Journal,,0,602.400,Unrealized Gain - Investments - Anthropic - #1,4203-003-001,602.400,Restate Anthropic unrealized gains to new account
MMW-48,MMW-,48,2025-01-01,Both,,Journal,,510.900,0,Unrealized Linqto Gains - DNU,4011-000,510.900,Restate Anthropic unrealized gains to new account
MMW-48,MMW-,48,2025-01-01,Both,,Journal,,0,510.900,Unrealized Gain - Investments - Databricks - #1,4203-005-001,510.900,Restate Anthropic unrealized gains to new account
MMW-49,MMW-,49,2025-02-06,Both,DIV-2025-02-06,Journal,Dividend FERG,1.220,0,Cash - Fidelity Cash Management Account,1001-001,1.220,February Dividends
MMW-49,MMW-,49,2025-02-06,Both,DIV-2025-02-06,Journal,Aggregate Dividend Income,0,1.220,Income - Ordinary Dividend,4001-001,1.220,February Dividends
MMW-50,MMW-,50,2025-02-21,Both,DIV-2025-02-21,Journal,Dividend CWT,2.220,0,Cash - Fidelity Cash Management Account,1001-001,2.220,February Dividends
MMW-50,MMW-,50,2025-02-21,Both,DIV-2025-02-21,Journal,Aggregate Dividend Income,0,2.220,Income - Ordinary Dividend,4001-001,2.220,February Dividends
MMW-51,MMW-,51,2025-02-28,Both,DIV-2025-02-28,Journal,Dividend FDRXX,53.630,0,Cash - Fidelity Cash Management Account,1001-001,135.870,February Dividends
MMW-51,MMW-,51,2025-02-28,Both,DIV-2025-02-28,Journal,Dividend LAND,2.600,0,Cash - Fidelity Cash Management Account,1001-001,135.870,February Dividends
MMW-51,MMW-,51,2025-02-28,Both,DIV-2025-02-28,Journal,Dividend GWRS,0.190,0,Cash - Fidelity Cash Management Account,1001-001,135.870,February Dividends
MMW-51,MMW-,51,2025-02-28,Both,DIV-2025-02-28,Journal,Dividend SPYI,79.450,0,Cash - Fidelity Cash Management Account,1001-001,135.870,February Dividends
MMW-51,MMW-,51,2025-02-28,Both,DIV-2025-02-28,Journal,Aggregate Dividend Income,0,135.870,Income - Ordinary Dividend,4001-001,135.870,February Dividends
